iter	Passed	Remaining
0	135	135567
1	136	68154
2	137	45800
3	138	34589
4	140	27863
5	148	24624
6	149	21180
7	149	18577
8	150	16553
9	150	14935
10	151	13614
11	152	12517
12	152	11591
13	153	10790
14	153	10100
15	154	9492
16	154	8951
17	155	8472
18	155	8050
19	156	7667
20	157	7321
21	157	7007
22	158	6718
23	158	6452
24	159	6206
25	159	5983
26	160	5777
27	160	5584
28	161	5405
29	162	5242
30	162	5085
31	163	4940
32	164	4806
33	164	4679
34	165	4557
35	165	4442
36	166	4333
37	167	4237
38	168	4143
39	168	4049
40	169	3962
41	170	3879
42	170	3798
43	171	3718
44	171	3644
45	172	3574
46	172	3505
47	173	3440
48	174	3378
49	174	3317
50	175	3256
51	175	3198
52	175	3143
53	176	3090
54	176	3040
55	177	2991
56	177	2943
57	178	2897
58	178	2853
59	179	2810
60	180	2770
61	180	2731
62	181	2693
63	181	2656
64	182	2621
65	182	2586
66	183	2552
67	183	2518
68	184	2485
69	184	2453
70	185	2423
71	185	2394
72	186	2366
73	186	2338
74	187	2311
75	188	2286
76	188	2260
77	189	2235
78	189	2210
79	190	2185
80	190	2161
81	191	2138
82	191	2113
83	191	2091
84	192	2071
85	192	2050
86	193	2029
87	193	2009
88	194	1990
89	194	1971
90	195	1952
91	195	1933
92	196	1915
93	196	1897
94	197	1880
95	198	1866
96	198	1850
97	199	1834
98	199	1819
99	200	1803
100	200	1788
101	201	1774
102	202	1760
103	202	1746
104	203	1732
105	203	1718
106	204	1705
107	204	1691
108	205	1679
109	205	1666
110	206	1654
111	207	1641
112	207	1628
113	207	1615
114	208	1603
115	208	1591
116	209	1578
117	209	1567
118	210	1555
119	210	1544
120	211	1534
121	211	1523
122	212	1512
123	212	1501
124	213	1491
125	213	1481
126	214	1471
127	214	1461
128	215	1452
129	215	1442
130	216	1433
131	216	1424
132	217	1416
133	217	1408
134	218	1400
135	219	1393
136	219	1384
137	220	1376
138	220	1367
139	221	1359
140	221	1351
141	222	1342
142	222	1334
143	223	1326
144	223	1318
145	224	1311
146	224	1303
147	225	1296
148	225	1289
149	226	1281
150	226	1274
151	227	1267
152	227	1260
153	228	1253
154	228	1246
155	229	1239
156	229	1232
157	230	1227
158	230	1221
159	231	1214
160	231	1207
161	232	1201
162	232	1194
163	233	1189
164	233	1183
165	234	1177
